date,revenue,transactions,product_category,store_id,product_id
2024-01-01,2814.21,32,Electronics,STORE_001,ELEC_001
2024-01-01,1105.02,27,Clothing,STORE_001,CLTH_001
2024-01-01,1672.25,25,Home Goods,STORE_001,HOME_001
2024-01-01,460.78,17,Grocery,STORE_001,GROC_004
2024-01-01,616.06,19,Beauty,STORE_001,BEAU_001
2024-01-01,2235.08,25,Electronics,STORE_002,ELEC_002
2024-01-01,598.23,14,Clothing,STORE_002,CLTH_001
2024-01-01,1138.73,22,Home Goods,STORE_002,HOME_001
2024-01-01,373.40,17,Grocery,STORE_002,GROC_004
2024-01-01,272.04,9,Beauty,STORE_002,BEAU_003
2024-01-01,2697.87,31,Electronics,STORE_003,ELEC_001
2024-01-01,960.71,23,Clothing,STORE_003,CLTH_001
2024-01-01,1744.69,30,Home Goods,STORE_003,HOME_003
2024-01-01,313.97,14,Grocery,STORE_003,GROC_001
2024-01-01,1029.43,24,Beauty,STORE_003,BEAU_002
2024-01-02,1997.32,29,Electronics,STORE_001,ELEC_002
2024-01-02,881.68,21,Clothing,STORE_001,CLTH_001
2024-01-02,1621.31,27,Home Goods,STORE_001,HOME_002
2024-01-02,514.71,18,Grocery,STORE_001,GROC_003
2024-01-02,572.09,15,Beauty,STORE_001,BEAU_002
2024-01-02,1753.86,24,Electronics,STORE_002,ELEC_003
2024-01-02,609.90,15,Clothing,STORE_002,CLTH_002
2024-01-02,1257.57,21,Home Goods,STORE_002,HOME_001
2024-01-02,451.44,19,Grocery,STORE_002,GROC_001
2024-01-02,175.28,5,Beauty,STORE_002,BEAU_004
2024-01-02,2533.54,34,Electronics,STORE_003,ELEC_001
2024-01-02,966.55,25,Clothing,STORE_003,CLTH_003
2024-01-02,1928.27,30,Home Goods,STORE_003,HOME_001
2024-01-02,589.08,26,Grocery,STORE_003,GROC_003
2024-01-02,770.50,22,Beauty,STORE_003,BEAU_003
2024-01-03,2718.34,33,Electronics,STORE_001,ELEC_002
2024-01-03,703.62,19,Clothing,STORE_001,CLTH_001
2024-01-03,1740.63,31,Home Goods,STORE_001,HOME_001
2024-01-03,375.90,14,Grocery,STORE_001,GROC_001
2024-01-03,981.28,23,Beauty,STORE_001,BEAU_001
2024-01-03,2619.89,27,Electronics,STORE_002,ELEC_002
2024-01-03,748.34,16,Clothing,STORE_002,CLTH_002
2024-01-03,1110.16,21,Home Goods,STORE_002,HOME_002
2024-01-03,235.02,9,Grocery,STORE_002,GROC_003
2024-01-03,688.10,17,Beauty,STORE_002,BEAU_003
2024-01-03,3630.97,41,Electronics,STORE_003,ELEC_002
2024-01-03,1053.41,25,Clothing,STORE_003,CLTH_001
2024-01-03,1507.52,27,Home Goods,STORE_003,HOME_002
2024-01-03,476.70,18,Grocery,STORE_003,GROC_004
2024-01-03,796.88,23,Beauty,STORE_003,BEAU_004
2024-01-04,2655.18,31,Electronics,STORE_001,ELEC_004
2024-01-04,1170.56,26,Clothing,STORE_001,CLTH_001
2024-01-04,1439.02,22,Home Goods,STORE_001,HOME_002
2024-01-04,482.74,18,Grocery,STORE_001,GROC_004
2024-01-04,924.63,18,Beauty,STORE_001,BEAU_001
